"my_id_col","Date","1 mo","2 mo","3 mo","6 mo","1 yr","2 yr","3 yr","5 yr","7 yr","10 yr","20 yr","30 yr"
"2000","01/03/00","N/A","N/A","5.48","5.81","6.09","6.38","6.42","6.5","6.65","6.58","6.94","6.61"
"2000","01/04/00","N/A","N/A","5.43","5.75","6","6.3","6.34","6.4","6.56","6.49","6.84","6.53"
"2000","01/05/00","N/A","N/A","5.44","5.74","6.05","6.38","6.43","6.51","6.68","6.62","6.95","6.64"
"2000","01/06/00","N/A","N/A","5.41","5.69","6.03","6.35","6.39","6.46","6.63","6.57","6.86","6.58"
"2000","01/07/00","N/A","N/A","5.38","5.66","6","6.31","6.35","6.42","6.58","6.52","6.82","6.55"
"2000","01/10/00","N/A","N/A","5.42","5.64","6.07","6.38","6.42","6.49","6.62","6.57","6.86","6.59"
"2000","01/11/00","N/A","N/A","5.43","5.66","6.13","6.45","6.49","6.57","6.72","6.67","6.94","6.68"
"2000","01/12/00","N/A","N/A","5.45","5.7","6.16","6.49","6.53","6.63","6.76","6.72","6.97","6.71"
"2000","01/13/00","N/A","N/A","5.41","5.66","6.1","6.4","6.45","6.54","6.67","6.63","6.88","6.65"
"2000","01/14/00","N/A","N/A","5.41","5.69","6.13","6.44","6.49","6.59","6.71","6.69","6.91","6.69"
"2000","01/18/00","N/A","N/A","5.56","5.79","6.15","6.47","6.53","6.65","6.78","6.75","6.94","6.75"
"2000","01/19/00","N/A","N/A","5.51","5.78","6.12","6.46","6.51","6.62","6.75","6.73","6.91","6.72"
"2000","01/20/00","N/A","N/A","5.48","5.84","6.13","6.49","6.55","6.67","6.8","6.79","6.93","6.74"
"2000","01/21/00","N/A","N/A","5.47","5.83","6.12","6.48","6.54","6.67","6.8","6.79","6.91","6.71"
"2000","01/24/00","N/A","N/A","5.55","5.77","6.13","6.43","6.48","6.59","6.71","6.69","6.86","6.65"
"2000","01/25/00","N/A","N/A","5.57","5.78","6.13","6.44","6.5","6.6","6.72","6.7","6.84","6.64"
"2000","01/26/00","N/A","N/A","5.58","5.78","6.15","6.45","6.51","6.62","6.72","6.69","6.79","6.6"
"2000","01/27/00","N/A","N/A","5.59","5.79","6.19","6.51","6.58","6.67","6.72","6.68","6.73","6.53"
"2000","01/28/00","N/A","N/A","5.65","5.86","6.25","6.58","6.62","6.68","6.72","6.66","6.65","6.45"
"2000","01/31/00","N/A","N/A","5.76","5.97","6.3","6.61","6.65","6.71","6.75","6.68","6.72","6.49"
"2000","02/01/00","N/A","N/A","5.71","5.95","6.3","6.6","6.63","6.68","6.71","6.62","6.66","6.43"
"2000","02/02/00","N/A","N/A","5.66","5.94","6.24","6.63","6.66","6.69","6.71","6.6","6.61","6.32"
"2000","02/03/00","N/A","N/A","5.63","5.86","6.16","6.56","6.56","6.56","6.63","6.49","6.52","6.17"
"2000","02/04/00","N/A","N/A","5.67","5.94","6.19","6.63","6.64","6.64","6.68","6.53","6.54","6.23"
"2000","02/07/00","N/A","N/A","5.72","6.04","6.23","6.68","6.72","6.76","6.8","6.64","6.62","6.34"
"2000","02/08/00","N/A","N/A","5.69","6.02","6.22","6.69","6.74","6.74","6.73","6.59","6.51","6.22"
"2000","02/09/00","N/A","N/A","5.66","5.99","6.2","6.69","6.75","6.77","6.78","6.56","6.6","6.32"
"2000","02/10/00","N/A","N/A","5.67","5.98","6.2","6.67","6.74","6.78","6.87","6.67","6.67","6.35"
"2000","02/11/00","N/A","N/A","5.66","5.98","6.17","6.65","6.73","6.77","6.81","6.63","6.62","6.29"
"2000","02/14/00","N/A","N/A","5.68","6.04","6.19","6.62","6.68","6.72","6.74","6.56","6.55","6.22"
"2000","02/15/00","N/A","N/A","5.75","6.01","6.2","6.66","6.72","6.74","6.76","6.56","6.59","6.26"
"2000","02/16/00","N/A","N/A","5.73","6","6.22","6.63","6.7","6.75","6.77","6.56","6.6","6.27"
"2000","02/17/00","N/A","N/A","5.74","6.03","6.28","6.69","6.72","6.76","6.81","6.58","6.55","6.23"
"2000","02/18/00","N/A","N/A","5.75","6.02","6.26","6.66","6.71","6.72","6.72","6.49","6.47","6.16"
"2000","02/22/00","N/A","N/A","5.82","6.03","6.22","6.57","6.62","6.62","6.6","6.36","6.39","6.08"
"2000","02/23/00","N/A","N/A","5.82","6.03","6.27","6.61","6.63","6.66","6.7","6.44","6.45","6.14"
"2000","02/24/00","N/A","N/A","5.81","6.02","6.22","6.52","6.54","6.56","6.61","6.36","6.43","6.13"
"2000","02/25/00","N/A","N/A","5.79","5.99","6.18","6.45","6.48","6.5","6.61","6.36","6.47","6.17"
"2000","02/28/00","N/A","N/A","5.8","6.02","6.21","6.47","6.5","6.53","6.62","6.37","6.47","6.16"
"2000","02/29/00","N/A","N/A","5.78","6.02","6.2","6.53","6.58","6.61","6.67","6.42","6.46","6.15"
"2000","03/01/00","N/A","N/A","5.76","6.02","6.17","6.52","6.54","6.59","6.63","6.39","6.48","6.16"
"2000","03/02/00","N/A","N/A","5.76","6.03","6.19","6.52","6.58","6.59","6.64","6.4","6.45","6.15"
"2000","03/03/00","N/A","N/A","5.79","6.02","6.15","6.5","6.56","6.6","6.62","6.39","6.41","6.13"
"2000","03/06/00","N/A","N/A","5.85","6.08","6.2","6.55","6.62","6.64","6.65","6.42","6.46","6.16"
"2000","03/07/00","N/A","N/A","5.83","6.07","6.17","6.48","6.55","6.6","6.62","6.39","6.46","6.16"
"2000","03/08/00","N/A","N/A","5.83","6.09","6.17","6.5","6.54","6.59","6.61","6.38","6.48","6.17"
"2000","03/09/00","N/A","N/A","5.82","6.06","6.15","6.48","6.52","6.56","6.59","6.35","6.47","6.16"
"2000","03/10/00","N/A","N/A","5.87","6.11","6.21","6.55","6.58","6.61","6.63","6.39","6.52","6.19"
"2000","03/13/00","N/A","N/A","5.89","6.13","6.21","6.52","6.54","6.57","6.6","6.36","6.5","6.17"
"2000","03/14/00","N/A","N/A","5.87","6.12","6.2","6.48","6.5","6.52","6.55","6.31","6.43","6.11"
"2000","03/15/00","N/A","N/A","5.85","6.12","6.21","6.5","6.5","6.5","6.52","6.29","6.39","6.07"
"2000","03/16/00","N/A","N/A","5.87","6.11","6.2","6.5","6.49","6.47","6.48","6.26","6.37","6.05"
"2000","03/17/00","N/A","N/A","5.89","6.13","6.2","6.5","6.49","6.45","6.43","6.2","6.33","6.01"
"2000","03/20/00","N/A","N/A","5.95","6.17","6.23","6.52","6.5","6.45","6.44","6.18","6.31","5.99"
"2000","03/21/00","N/A","N/A","5.91","6.13","6.22","6.5","6.48","6.44","6.39","6.13","6.28","5.97"
"2000","03/22/00","N/A","N/A","5.91","6.11","6.21","6.5","6.47","6.41","6.41","6.13","6.3","5.97"
"2000","03/23/00","N/A","N/A","5.9","6.12","6.23","6.52","6.47","6.39","6.37","6.08","6.25","5.92"
"2000","03/24/00","N/A","N/A","5.91","6.19","6.31","6.64","6.59","6.51","6.49","6.2","6.36","6"
"2000","03/27/00","N/A","N/A","5.88","6.18","6.32","6.66","6.61","6.51","6.49","6.21","6.35","5.99"
"2000","03/28/00","N/A","N/A","5.88","6.16","6.31","6.6","6.57","6.46","6.45","6.17","6.34","5.98"
"2000","03/29/00","N/A","N/A","5.89","6.17","6.31","6.59","6.54","6.46","6.45","6.18","6.35","5.99"
"2000","03/30/00","N/A","N/A","5.88","6.14","6.26","6.52","6.47","6.35","6.31","6.06","6.26","5.89"
"2000","03/31/00","N/A","N/A","5.88","6.15","6.28","6.5","6.44","6.32","6.28","6.03","6.2","5.84"
"2000","04/03/00","N/A","N/A","5.87","6.18","6.23","6.45","6.41","6.3","6.25","6","6.19","5.84"
"2000","04/04/00","N/A","N/A","5.83","6.1","6.14","6.35","6.29","6.16","6.15","5.9","6.12","5.77"
"2000","04/05/00","N/A","N/A","5.86","6.12","6.15","6.35","6.29","6.17","6.16","5.9","6.14","5.81"
"2000","04/06/00","N/A","N/A","5.88","6.1","6.17","6.38","6.32","6.2","6.19","5.93","6.12","5.8"
"2000","04/07/00","N/A","N/A","5.9","6.1","6.17","6.38","6.33","6.18","6.13","5.86","6.04","5.71"
"2000","04/10/00","N/A","N/A","5.85","6.1","6.14","6.31","6.26","6.11","6.08","5.8","6.04","5.69"
"2000","04/11/00","N/A","N/A","5.83","6.12","6.16","6.36","6.31","6.19","6.2","5.89","6.13","5.77"
"2000","04/12/00","N/A","N/A","5.83","6.08","6.17","6.4","6.35","6.27","6.29","5.97","6.19","5.84"
"2000","04/13/00","N/A","N/A","5.81","6.07","6.16","6.4","6.34","6.24","6.25","5.94","6.16","5.81"
"2000","04/14/00","N/A","N/A","5.81","6.03","6.08","6.27","6.21","6.11","6.16","5.85","6.12","5.79"
"2000","04/17/00","N/A","N/A","5.82","6.05","6.09","6.33","6.29","6.23","6.31","6.01","6.26","5.92"
"2000","04/18/00","N/A","N/A","5.81","6.01","6.07","6.33","6.3","6.27","6.33","6.05","6.26","5.92"
"2000","04/19/00","N/A","N/A","5.81","6.02","6.08","6.33","6.29","6.23","6.26","5.99","6.18","5.85"
"2000","04/20/00","N/A","N/A","5.79","6","6.12","6.38","6.33","6.24","6.25","5.99","6.16","5.83"
"2000","04/24/00","N/A","N/A","5.8","6.01","6.11","6.36","6.31","6.23","6.25","6","6.2","5.86"
"2000","04/25/00","N/A","N/A","5.79","6.02","6.18","6.48","6.45","6.39","6.4","6.14","6.27","5.95"
"2000","04/26/00","N/A","N/A","5.75","6.03","6.19","6.5","6.46","6.4","6.4","6.14","6.28","5.95"
"2000","04/27/00","N/A","N/A","5.75","6.06","6.21","6.63","6.59","6.51","6.5","6.23","6.34","6"
"2000","04/28/00","N/A","N/A","5.82","6.12","6.24","6.68","6.64","6.56","6.49","6.23","6.31","5.97"
"2000","05/01/00","N/A","N/A","6","6.25","6.24","6.73","6.68","6.59","6.55","6.29","6.33","5.98"
"2000","05/02/00","N/A","N/A","5.92","6.22","6.23","6.72","6.68","6.6","6.58","6.32","6.39","6.03"
"2000","05/03/00","N/A","N/A","5.91","6.23","6.23","6.73","6.71","6.66","6.66","6.4","6.49","6.11"
"2000","05/04/00","N/A","N/A","5.9","6.22","6.2","6.77","6.74","6.7","6.71","6.46","6.59","6.19"
"2000","05/05/00","N/A","N/A","5.97","6.3","6.29","6.84","6.81","6.77","6.75","6.51","6.61","6.2"
"2000","05/08/00","N/A","N/A","6.19","6.47","6.38","6.87","6.86","6.83","6.82","6.57","6.69","6.25"
"2000","05/09/00","N/A","N/A","6.14","6.41","6.37","6.86","6.82","6.75","6.77","6.53","6.64","6.22"
"2000","05/10/00","N/A","N/A","6.14","6.41","6.36","6.84","6.79","6.69","6.7","6.47","6.56","6.18"
"2000","05/11/00","N/A","N/A","6.14","6.43","6.37","6.82","6.78","6.67","6.68","6.43","6.54","6.16"
"2000","05/12/00","N/A","N/A","6.14","6.52","6.44","6.91","6.86","6.76","6.77","6.51","6.62","6.2"
"2000","05/15/00","N/A","N/A","6.25","6.55","6.44","6.88","6.82","6.73","6.72","6.47","6.56","6.17"
"2000","05/16/00","N/A","N/A","6.2","6.53","6.43","6.89","6.84","6.72","6.69","6.43","6.52","6.12"
"2000","05/17/00","N/A","N/A","6.05","6.44","6.42","6.9","6.84","6.74","6.74","6.48","6.58","6.18"
"2000","05/18/00","N/A","N/A","5.92","6.4","6.39","6.93","6.88","6.79","6.83","6.56","6.66","6.24"
"2000","05/19/00","N/A","N/A","5.89","6.4","6.32","6.86","6.8","6.71","6.76","6.51","6.64","6.22"
"2000","05/22/00","N/A","N/A","6.01","6.42","6.29","6.81","6.75","6.66","6.69","6.44","6.58","6.18"
"2000","05/23/00","N/A","N/A","6.01","6.43","6.3","6.83","6.77","6.68","6.7","6.45","6.58","6.17"
"2000","05/24/00","N/A","N/A","5.92","6.41","6.29","6.79","6.76","6.71","6.72","6.47","6.61","6.19"
"2000","05/25/00","N/A","N/A","5.85","6.37","6.27","6.71","6.69","6.64","6.63","6.39","6.5","6.11"
"2000","05/26/00","N/A","N/A","5.83","6.36","6.27","6.69","6.65","6.57","6.57","6.33","6.45","6.06"
"2000","05/30/00","N/A","N/A","5.87","6.44","6.28","6.74","6.7","6.62","6.61","6.38","6.5","6.09"
"2000","05/31/00","N/A","N/A","5.63","6.35","6.37","6.69","6.66","6.54","6.52","6.29","6.42","6.02"
"2000","06/01/00","N/A","N/A","5.74","6.27","6.32","6.61","6.56","6.44","6.44","6.2","6.33","5.95"
"2000","06/02/00","N/A","N/A","5.87","6.25","6.23","6.52","6.48","6.37","6.39","6.15","6.31","5.94"
"2000","06/05/00","N/A","N/A","5.98","6.32","6.22","6.49","6.44","6.33","6.36","6.12","6.28","5.91"
"2000","06/06/00","N/A","N/A","5.99","6.33","6.24","6.51","6.46","6.35","6.37","6.14","6.28","5.91"
"2000","06/07/00","N/A","N/A","5.92","6.3","6.23","6.52","6.47","6.35","6.35","6.13","6.26","5.89"
"2000","06/08/00","N/A","N/A","5.91","6.27","6.22","6.56","6.5","6.37","6.36","6.13","6.25","5.89"
"2000","06/09/00","N/A","N/A","5.92","6.28","6.23","6.56","6.5","6.36","6.36","6.13","6.26","5.89"
"2000","06/12/00","N/A","N/A","5.93","6.27","6.2","6.52","6.47","6.33","6.32","6.09","6.23","5.88"
"2000","06/13/00","N/A","N/A","5.88","6.24","6.17","6.49","6.44","6.32","6.35","6.11","6.3","5.94"
"2000","06/14/00","N/A","N/A","5.82","6.22","6.13","6.44","6.38","6.26","6.28","6.06","6.25","5.91"
"2000","06/15/00","N/A","N/A","5.84","6.23","6.13","6.44","6.39","6.26","6.27","6.05","6.26","5.93"
"2000","06/16/00","N/A","N/A","5.83","6.2","6.09","6.38","6.32","6.19","6.21","5.99","6.21","5.88"
"2000","06/19/00","N/A","N/A","5.84","6.2","6.11","6.4","6.34","6.2","6.23","6","6.24","5.89"
"2000","06/20/00","N/A","N/A","5.79","6.19","6.12","6.43","6.37","6.23","6.26","6.03","6.25","5.9"
"2000","06/21/00","N/A","N/A","5.81","6.19","6.16","6.5","6.45","6.32","6.35","6.11","6.32","5.96"
"2000","06/22/00","N/A","N/A","5.84","6.16","6.16","6.5","6.45","6.32","6.35","6.12","6.33","5.98"
"2000","06/23/00","N/A","N/A","5.86","6.2","6.19","6.55","6.49","6.37","6.42","6.19","6.38","6.04"
"2000","06/26/00","N/A","N/A","5.82","6.23","6.16","6.5","6.43","6.29","6.34","6.11","6.34","5.99"
"2000","06/27/00","N/A","N/A","5.83","6.23","6.16","6.5","6.43","6.29","6.33","6.1","6.31","5.95"
"2000","06/28/00","N/A","N/A","5.81","6.22","6.14","6.43","6.38","6.28","6.33","6.11","6.33","5.97"
"2000","06/29/00","N/A","N/A","5.85","6.22","6.11","6.37","6.32","6.21","6.27","6.04","6.24","5.88"
"2000","06/30/00","N/A","N/A","5.88","6.23","6.08","6.38","6.31","6.18","6.25","6.03","6.26","5.9"
"2000","07/03/00","N/A","N/A","6","6.24","6.07","6.31","6.24","6.12","6.19","6","6.22","5.87"
"2000","07/05/00","N/A","N/A","5.99","6.19","6.06","6.29","6.23","6.12","6.18","5.99","6.21","5.86"
"2000","07/06/00","N/A","N/A","6.02","6.21","6.1","6.34","6.28","6.16","6.24","6.05","6.27","5.91"
"2000","07/07/00","N/A","N/A","6.04","6.19","6.07","6.29","6.23","6.11","6.17","6.01","6.23","5.87"
"2000","07/10/00","N/A","N/A","6.1","6.23","6.09","6.31","6.24","6.13","6.21","6.04","6.23","5.88"
"2000","07/11/00","N/A","N/A","6.1","6.24","6.09","6.32","6.26","6.16","6.22","6.06","6.23","5.89"
"2000","07/12/00","N/A","N/A","6.17","6.26","6.1","6.34","6.29","6.2","6.26","6.09","6.23","5.89"
"2000","07/13/00","N/A","N/A","6.18","6.27","6.07","6.31","6.24","6.15","6.17","6.01","6.15","5.81"
