Series Name,Series Code,Time,Time Code,United States [USA],China [CHN],"Macao SAR, China [MAC]","Hong Kong SAR, China [HKG]"
GDP (current US$),NY.GDP.MKTP.CD,1960,YR1960,543300000000,59716467625.3148,..,1320796651.69457
GDP (current US$),NY.GDP.MKTP.CD,1961,YR1961,563300000000,50056868957.6732,..,1383681651.13776
GDP (current US$),NY.GDP.MKTP.CD,1962,YR1962,605100000000,47209359005.6056,..,1612346412.26475
GDP (current US$),NY.GDP.MKTP.CD,1963,YR1963,638600000000,50706799902.5103,..,1935298266.45384
GDP (current US$),NY.GDP.MKTP.CD,1964,YR1964,685800000000,59708343488.5043,..,2206466461.26434
GDP (current US$),NY.GDP.MKTP.CD,1965,YR1965,743700000000,70436266146.7219,..,2435078534.03141
GDP (current US$),NY.GDP.MKTP.CD,1966,YR1966,815000000000,76720285969.6157,..,2489845016.64894
GDP (current US$),NY.GDP.MKTP.CD,1967,YR1967,861700000000,72881631326.6715,..,2692474989.12571
GDP (current US$),NY.GDP.MKTP.CD,1968,YR1968,942500000000,70846535055.6503,..,2716964388.42418
GDP (current US$),NY.GDP.MKTP.CD,1969,YR1969,1019900000000,79705906247.4612,..,3189740055.13982
GDP (current US$),NY.GDP.MKTP.CD,1970,YR1970,1075884000000,92602973434.0726,..,3800766535.62088
GDP (current US$),NY.GDP.MKTP.CD,1971,YR1971,1167770000000,99800958648.1436,..,4476001946.01486
GDP (current US$),NY.GDP.MKTP.CD,1972,YR1972,1282449000000,113687586299.051,..,5710107420.14394
GDP (current US$),NY.GDP.MKTP.CD,1973,YR1973,1428549000000,138544284708.957,..,8030117555.62033
GDP (current US$),NY.GDP.MKTP.CD,1974,YR1974,1548825000000,144182133387.722,..,9388663645.7588
GDP (current US$),NY.GDP.MKTP.CD,1975,YR1975,1688923000000,163431551779.761,..,10048022369.9141
GDP (current US$),NY.GDP.MKTP.CD,1976,YR1976,1877587000000,153940455341.506,..,12876366008.8077
GDP (current US$),NY.GDP.MKTP.CD,1977,YR1977,2085951000000,174938098826.569,..,15719433719.4337
GDP (current US$),NY.GDP.MKTP.CD,1978,YR1978,2356571000000,149540752829.268,..,18315007365.9713
GDP (current US$),NY.GDP.MKTP.CD,1979,YR1979,2632143000000,178280594413.043,..,22526035940.5921
GDP (current US$),NY.GDP.MKTP.CD,1980,YR1980,2862505000000,191149211575,..,28861759209.0191
GDP (current US$),NY.GDP.MKTP.CD,1981,YR1981,3210956000000,195866382432.54,..,31055409443.043
GDP (current US$),NY.GDP.MKTP.CD,1982,YR1982,3344991000000,205089699858.779,1130457130.00739,32291306281.8168
GDP (current US$),NY.GDP.MKTP.CD,1983,YR1983,3638137000000,230686747153.257,1121486562.52512,29907091339.5364
GDP (current US$),NY.GDP.MKTP.CD,1984,YR1984,4040693000000,259946510957.143,1292281653.68246,33511383985.6741
GDP (current US$),NY.GDP.MKTP.CD,1985,YR1985,4346734000000,309488028132.653,1348827324.09861,35699543050.7778
GDP (current US$),NY.GDP.MKTP.CD,1986,YR1986,4590155000000,300758100107.246,1517496131.38322,41075570591.9291
GDP (current US$),NY.GDP.MKTP.CD,1987,YR1987,4870217000000,272972974764.574,1941246972.45874,50622571586.1149
GDP (current US$),NY.GDP.MKTP.CD,1988,YR1988,5252629000000,312353631207.819,2269233639.28065,59707404560.5944
GDP (current US$),NY.GDP.MKTP.CD,1989,YR1989,5657693000000,347768051311.741,2683254708.17411,68790369107.2962
GDP (current US$),NY.GDP.MKTP.CD,1990,YR1990,5979589000000,360857912565.966,3220920084.77746,76928290841.8701
GDP (current US$),NY.GDP.MKTP.CD,1991,YR1991,6174043000000,383373318083.624,3735117374.41125,88959620135.8864
GDP (current US$),NY.GDP.MKTP.CD,1992,YR1992,6539299000000,426915712711.146,4879018601.90911,104272278634.731
GDP (current US$),NY.GDP.MKTP.CD,1993,YR1993,6878718000000,444731282436.762,5625533410.31176,120353947980.764
GDP (current US$),NY.GDP.MKTP.CD,1994,YR1994,7308755000000,564324670005.917,6265844252.10105,135812069768.646
GDP (current US$),NY.GDP.MKTP.CD,1995,YR1995,7664060000000,734547898220.508,6996034036.99892,144652912433.103
GDP (current US$),NY.GDP.MKTP.CD,1996,YR1996,8100201000000,863746717503.789,7122539666.59972,159717233621.659
GDP (current US$),NY.GDP.MKTP.CD,1997,YR1997,8608515000000,961603952951.82,7211264780.00828,177352785419.977
GDP (current US$),NY.GDP.MKTP.CD,1998,YR1998,9089168000000,1029043097554.08,6742367273.27418,168886163221.567
GDP (current US$),NY.GDP.MKTP.CD,1999,YR1999,9660624000000,1093997267271.06,6490571703.85015,165768095391.557
GDP (current US$),NY.GDP.MKTP.CD,2000,YR2000,10284779000000,1211346869605.24,6720492405.83611,171668164082.555
GDP (current US$),NY.GDP.MKTP.CD,2001,YR2001,10621824000000,1339395718865.3,6811227982.82193,169403241524.337
GDP (current US$),NY.GDP.MKTP.CD,2002,YR2002,10977514000000,1470550015081.55,7322677820.10108,166349228737.386
GDP (current US$),NY.GDP.MKTP.CD,2003,YR2003,11510670000000,1660287965662.68,8195033162.12038,161384522525.299
GDP (current US$),NY.GDP.MKTP.CD,2004,YR2004,12274928000000,1955347004963.27,10585624890.9277,169099768875.193
GDP (current US$),NY.GDP.MKTP.CD,2005,YR2005,13093726000000,2285965892360.54,12092222041.9168,181570082162.19
GDP (current US$),NY.GDP.MKTP.CD,2006,YR2006,13855888000000,2752131773355.16,14789661809.1834,193536265094.364
GDP (current US$),NY.GDP.MKTP.CD,2007,YR2007,14477635000000,3552182311652.97,18340447242.9971,211597405593.868
GDP (current US$),NY.GDP.MKTP.CD,2008,YR2008,14718582000000,4598206091384,20917444919.6394,219279678430.164
GDP (current US$),NY.GDP.MKTP.CD,2009,YR2009,14418739000000,5109953609257.25,21475520709.3922,214046415026.187
GDP (current US$),NY.GDP.MKTP.CD,2010,YR2010,14964372000000,6100620488867.55,28123640998.7253,228637697575.04
GDP (current US$),NY.GDP.MKTP.CD,2011,YR2011,15517926000000,7572553836875.34,36709860068.3445,248513617677.287
GDP (current US$),NY.GDP.MKTP.CD,2012,YR2012,16155255000000,8560547314679.28,43031577366.4251,262629441493.476
GDP (current US$),NY.GDP.MKTP.CD,2013,YR2013,16691517000000,9607224481532.65,51552075901.5183,275696879834.966
GDP (current US$),NY.GDP.MKTP.CD,2014,YR2014,17427609000000,10482372109961.9,55347998647.8196,291459356985.337
GDP (current US$),NY.GDP.MKTP.CD,2015,YR2015,18120714000000,11064666282625.5,45361678146.5247,309383627028.561
GDP (current US$),NY.GDP.MKTP.CD,2016,YR2016,18624475000000,11190992550229.5,45310877912.7215,320881182123.855
GDP (current US$),NY.GDP.MKTP.CD,2017,YR2017,19390604000000,12237700479375,50361201096.4366,341449340450.649
GDP (current US$),NY.GDP.MKTP.CD,2018,YR2018,..,..,..,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1960,YR1960,3170879604134.89,127938142382.708,..,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1961,YR1961,3243809835029.98,93049410949.895,..,10710190830.3625
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1962,YR1962,3441682234966.81,87857253828.0692,..,12240744811.365
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1963,YR1963,3593116253305.35,96906550968.2098,..,14170366289.1856
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1964,YR1964,3801516995997.07,114524161928.612,..,15392944267.209
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1965,YR1965,4044814083740.87,133936007378.37,..,17646808086.1942
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1966,YR1966,4307726999184.04,148200192169.756,..,17963567911.7935
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1967,YR1967,4415420174163.64,139649041075.3,..,18251590539.9317
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1968,YR1968,4627360342523.48,133923430402.187,..,18871663351.5636
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1969,YR1969,4770808513141.71,156610059507.107,..,21012421899.0321
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1970,YR1970,4779684394200,186835800986.115,..,22947031720.5629
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1971,YR1971,4937197781100,200026408541.997,..,24620512593.0889
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1972,YR1972,5197055474100,207647414703.955,..,27233211832.4466
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1973,YR1973,5490331802900,223760854088.397,..,30577354078.8796
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1974,YR1974,5461938301500,228929729818.938,..,31315845832.5021
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1975,YR1975,5451141221800,248892402260.237,..,31469942276.2462
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1976,YR1976,5744744596800,244984791537.905,..,36556751553.621
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1977,YR1977,6009496747300,263530140255.295,..,40843256992.2683
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1978,YR1978,6343726022200,294275263560.25,..,44217220858.7082
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1979,YR1979,6545183142700,316640183590.83,..,49327236778.561
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1980,YR1980,6529173871800,341359305729.89,..,54313303201.4401
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1981,YR1981,6698571354500,359015821543.505,..,59343180295.1656
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1982,YR1982,6570568952800,391091825271.573,4132299800.47505,61093655168.4363
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1983,YR1983,6874947746100,433467463224.249,4546437358.57541,64745231206.5757
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1984,YR1984,7374006181400,499090846998.185,4931056601.36437,71202750581.7166
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1985,YR1985,7686570948200,566185607089.922,4967183494.73057,71741817029.1846
GDP (constant 2010 US$),NY.GDP.MKTP.KD,1986,YR1986,7956493688100,616800952422.284,5299639028.07369,79673717297.4608
