Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2020-02-03,56.16,56.77,54.08,54.45,1571948,2484403
2020-02-04,54.33,55.65,53.69,53.96,1389075,2464964
2020-02-05,54.05,56.46,54.05,55.28,1342180,2485580
2020-02-06,55.56,56.58,54.25,54.93,1334068,2503789
2020-02-07,55.14,55.4,54.21,54.47,905715,2495797
2020-02-10,54.2,54.71,53.11,53.27,1010828,2557437
2020-02-11,53.62,54.69,53.6,54.01,953399,2545195
2020-02-12,54.41,56.36,54.39,55.79,1095206,2520853
2020-02-13,55.75,56.83,54.96,56.34,1119079,2574448
2020-02-14,56.41,57.53,56.15,57.32,912202
2020-02-17,57.13,57.7,56.84,57.55,377639,2568337
2020-02-18,57.35,57.83,56.3,57.75,953317,2581506
2020-02-19,57.6,59.4,57.51,59.12,1009474,2586305
2020-02-20,59.31,60,58.9,59.31,1083132,2594303
2020-02-21,59,59.25,57.73,58.5,1000033,2582401
2020-02-24,57,57.26,54.6,55.77,1250698,2597236
2020-02-25,55.95,56.38,53.94,54.26,1020918,2590103
2020-02-26,54.41,54.78,52.39,52.81,1373032,2582487
2020-02-27,52.54,52.65,50.39,51.73,1502164,2552794
2020-02-28,51.08,51.14,48.94,49.67,1392327,2506519
2020-03-02,48.95,53.2,48.4,51.9,1176830,2493641
2020-03-03,53.47,53.9,51.22,51.86,1193571,2480980
2020-03-04,52.11,53.03,51.04,51.13,1090953,2475234
2020-03-05,51.66,52.04,49.7,49.99,1038690,2500022
2020-03-06,50.25,50.45,45.18,45.27,2170328,2527016
2020-03-09,38.28,38.34,31.02,34.36,2906275,2517159
2020-03-10,35.84,38.22,35,37.22,1916252,2516944
2020-03-11,37.27,39.7,35.35,35.79,1998170,2544340
2020-03-12,35.99,36.46,32.5,33.22,2352753,2565821
2020-03-13,32.85,36.15,32.5,33.85,1483166
