Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2020-02-03,51.01,51.97,49.8,50.11,1755325,2266346
2020-02-04,49.94,51.55,49.31,49.61,1590958,2271741
2020-02-05,49.51,51.88,49.47,50.75,1587238,2259287
2020-02-06,51.17,52.2,50.24,50.95,1513493,2257711
2020-02-07,51.11,51.48,50.09,50.32,1521504,2228359
2020-02-10,50.12,50.49,49.42,49.57,1421242,2232038
2020-02-11,49.61,50.69,49.58,49.94,1406144,2213522
2020-02-12,49.96,51.73,49.95,51.17,1630456,2212387
2020-02-13,51.72,51.96,50.6,51.42,1578507,2193121
2020-02-14,51.51,52.34,51.32,52.05,1268512,2145000
2020-02-18,52.49,52.65,51.15,52.29,1323244,2138168
2020-02-19,52.36,53.87,52.16,53.49,1167968,2126079
2020-02-20,53.7,54.66,53.44,53.88,1152020,2109733
2020-02-21,53.74,53.86,52.55,53.38,1240085,2121237
2020-02-24,52.6,52.64,50.45,51.43,1351507,2152959
2020-02-25,51.37,52.02,49.69,49.9,1309995,2179833
2020-02-26,50.08,50.44,48.3,48.73,1505750,2183533
2020-02-27,48.63,48.78,45.88,47.09,1829637,2208234
2020-02-28,46.49,47.03,43.85,44.76,1946472,2209193
2020-03-02,43.7,47.56,43.32,46.75,1580631,2205214
2020-03-03,47.72,48.66,46.47,47.18,1657858,2196089
2020-03-04,46.94,48.41,46.65,46.78,1288506,2211246
2020-03-05,47.13,47.57,45.65,45.9,1219703,2233315
2020-03-06,46.09,46.38,41.05,41.28,2696734,2214254
2020-03-09,32.87,34.88,27.34,31.13,4023388,2211948
2020-03-10,30.37,35.02,30.2,34.36,2228991,2220972
2020-03-11,34.62,36.35,32.56,32.98,1910504,2230012
2020-03-12,33.07,33.63,30.02,31.5,2940214,2220595
2020-03-13,30.77,33.87,30.33,31.73,1753023
