Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2020-02-03,249,256.35,248.75,250.7,170870,260825
2020-02-04,250.55,257.25,250.15,254.2,141328,264032
2020-02-05,254.7,260.55,254.25,257.45,158949,267245
2020-02-06,258.25,262.25,257.65,259.3,129203,271357
2020-02-07,259.4,259.9,254.55,255.3,146701,269394
2020-02-10,255,257.6,254,255.05,139194,268628
2020-02-11,255.6,260.75,255.55,258.3,127416,269208
2020-02-12,258.2,261,258,260,126305,270366
2020-02-13,260.2,262.75,258.15,261.3,151103,272311
2020-02-14,261.5,261.75,259.25,259.95,97119,274607
2020-02-18,260.4,263.25,259.4,260.4,171679,275462
2020-02-19,260.55,262.7,257.75,260.6,155261,264271
2020-02-20,260.6,262.35,257.75,258.8,146880,265284
2020-02-21,258.95,261.75,256.05,260.8,179529,266231
2020-02-24,260,260,256.55,258.35,177918,263489
2020-02-25,257.6,259.6,256.15,258.2,157709,260777
2020-02-26,256.6,258.3,254.65,257.35,151393,255264
2020-02-27,256.65,258.2,252.55,257.15,143520,252760
2020-02-28,255.65,257.75,250.6,254,151549,247105
2020-03-02,252.2,261.3,250.1,259.5,125356,244200
2020-03-03,261.65,262.5,254.65,257.3,114440,242931
2020-03-04,258.7,260,257,258.6,71935,243604
2020-03-05,258.25,260,256.1,257.3,75449,242703
2020-03-06,257,257.7,253.2,256.05,139490,238151
2020-03-09,253.5,253.5,245.65,251.05,143731,231636
2020-03-10,248.7,256.55,248.2,252.15,111576,227198
2020-03-11,254.1,254.2,247.25,250.2,89815,226756
2020-03-12,247.75,248.45,242.8,247.25,136162,224788
2020-03-13,244.3,253.2,240.15,246.4,136369
