Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-02-03,3235.66,3268.44,3235.66,3248.92,598835776
2020-02-04,3280.61,3306.92,3280.61,3297.59,591876110
2020-02-05,3324.91,3337.58,3313.75,3334.69,608121958
2020-02-06,3344.92,3347.96,3334.39,3345.78,553907100
2020-02-07,3335.54,3341.42,3322.12,3327.71,507416780
2020-02-10,3318.28,3352.26,3317.77,3352.09,488488621
2020-02-11,3365.87,3375.63,3352.72,3357.75,471668588
2020-02-12,3370.5,3381.47,3369.72,3379.45,535533382
2020-02-13,3365.9,3385.09,3360.52,3373.94,515936017
2020-02-14,3378.08,3380.69,3366.15,3380.16,476855596
2020-02-18,3369.04,3375.01,3355.61,3370.29,543398456
2020-02-19,3380.39,3393.52,3378.83,3386.15,469249670
2020-02-20,3380.45,3389.15,3341.02,3373.23,539161801
2020-02-21,3360.5,3360.76,3328.45,3337.75,680523110
2020-02-24,3257.61,3259.81,3214.65,3225.89,791106187
2020-02-25,3238.94,3246.99,3118.77,3128.21,890696494
2020-02-26,3139.9,3182.51,3108.99,3116.39,836587088
2020-02-27,3062.54,3097.07,2977.39,2978.76,1135994401
2020-02-28,2916.9,2959.72,2855.84,2954.22,1663860666
2020-03-02,2974.28,3090.96,2945.19,3090.23,1125426198
2020-03-03,3096.46,3136.72,2976.63,3003.37,1146478283
2020-03-04,3045.75,3130.97,3034.38,3130.12,852867217
2020-03-05,3075.7,3083.04,2999.83,3023.94,910652768
2020-03-06,2954.2,2985.93,2901.54,2972.37,1069655941
2020-03-09,2863.89,2863.89,2734.43,2746.56,1310723103
2020-03-10,2813.48,2882.59,2734,2882.23,1159349137
2020-03-11,2825.6,2825.6,2707.22,2741.38,1122243487
2020-03-12,2630.86,2660.95,2478.86,2480.64,1431406626
2020-03-13,2569.99,2711.33,2492.37,2711.02
