Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-01-03,12459.5,12580.3,12404.8,12474.5,327202528
2007-01-04,12473.2,12510.4,12403.9,12480.7,259056432
2007-01-05,12480,12480.1,12365.4,12398,235221072
2007-01-08,12392,12445.9,12337.4,12423.5,223502064
2007-01-09,12424.8,12466.4,12369.2,12416.6,225156352
2007-01-10,12417,12451.6,12355.6,12442.2,226574384
2007-01-11,12443,12544.5,12443,12515,261721712
2007-01-12,12514.7,12561,12489.7,12556.1,256532976
2007-01-16,12555.8,12585.1,12538.9,12582.6,242721136
2007-01-17,12571.5,12614,12550.5,12577.2,272720192
2007-01-18,12575,12611.9,12547.3,12567.9,250686784
2007-01-19,12567.9,12586.8,12523.5,12565.5,287475296
2007-01-22,12566.3,12572.6,12450.9,12477.2,240588912
2007-01-23,12477.8,12554.2,12468.3,12533.8,236764416
2007-01-24,12534.4,12623.5,12531.1,12621.8,216921792
2007-01-25,12621.8,12622.7,12487.3,12502.5,245775392
2007-01-26,12503.3,12539.1,12431.3,12487,247021008
2007-01-29,12487.1,12542.7,12481.5,12490.8,234509248
2007-01-30,12492.2,12538.5,12459.5,12523.3,244038400
2007-01-31,12520,12657,12505.2,12621.7,258411504
2007-02-01,12617.2,12682.6,12616.1,12673.7,235128240
2007-02-02,12673.8,12683.9,12638.3,12653.5,203607984
2007-02-05,12653.4,12681.2,12629.9,12661.7,204144688
2007-02-06,12661.7,12680.6,12633.9,12666.3,201003696
2007-02-07,12656.9,12700.3,12630.5,12666.9,194015760
2007-02-08,12665.7,12665.8,12575.9,12637.6,193816416
2007-02-09,12638,12675.7,12545.1,12580.8,220325552
2007-02-12,12580.1,12607.5,12536.2,12552.5,174984960
2007-02-13,12549.2,12658.2,12549.2,12654.8,204937600
2007-02-14,12651.3,12759.4,12651.2,12741.9,210877824
2007-02-15,12741.7,12779,12728.7,12765,183284592
2007-02-16,12764.1,12769.2,12744,12767.6,243559504
2007-02-20,12766.8,12795.9,12704.7,12786.6,205756480
2007-02-21,12782.9,12782.9,12707.2,12738.4,213474528
2007-02-22,12735.8,12763.7,12650.6,12686,206863088
2007-02-23,12679.9,12682.1,12628,12647.5,215430544
2007-02-26,12647.9,12697.2,12608.5,12632.2,230081792
2007-02-27,12628.9,12629.4,12086,12216.2,393298912
2007-02-28,12214.9,12353.5,12186,12268.6,412818368
2007-03-01,12265.6,12289.2,12059.5,12234.3,372009920
2007-03-02,12233.8,12247.4,12107.4,12114.1,315182304
2007-03-05,12111.6,12188.8,12039.1,12050.4,278770848
2007-03-06,12051.2,12224.4,12050.6,12207.6,278809728
2007-03-07,12204.5,12256.9,12179,12192.5,263543408
2007-03-08,12193.3,12303.6,12193.3,12260.7,241066864
2007-03-09,12262,12330.9,12228.5,12276.3,211035248
2007-03-12,12275.7,12350,12246.5,12318.6,219581392
2007-03-13,12307.5,12307.6,12072,12076,312343232
2007-03-14,12074.5,12142.9,11939.6,12133.4,333450816
2007-03-15,12133.2,12188.1,12105.9,12159.7,232601296
2007-03-16,12160.2,12190.4,12082.1,12110.4,388659712
2007-03-19,12110.4,12234.7,12110.4,12226.2,208478416
2007-03-20,12226.8,12294,12213.1,12288.1,196618048
2007-03-21,12289,12479.7,12263.5,12447.5,245997568
2007-03-22,12446.7,12476.2,12408.7,12461.1,232691232
2007-03-23,12460.5,12511,12448.7,12481,206410848
2007-03-26,12480.4,12486.8,12367.2,12469.1,219957024
2007-03-27,12468.6,12468.7,12377.3,12397.3,209030960
2007-03-28,12396.5,12396.5,12257.4,12300.4,224830896
2007-03-29,12301.5,12381.9,12267.6,12348.8,208156272
2007-03-30,12348.9,12416.7,12242.6,12354.3,233625872
2007-04-02,12354.5,12395,12324.3,12382.3,209419856
2007-04-03,12379,12534.3,12379,12510.3,220474801
2007-04-04,12511.4,12541.5,12495.8,12530,210134288
2007-04-05,12523.2,12572.5,12500.4,12560.2,164930779
2007-04-09,12562.6,12593.6,12555.3,12569.1,191590453
2007-04-10,12568.5,12588.5,12549.5,12573.8,214688190
2007-04-11,12573.1,12580,12456.7,12484.6,245474673
2007-04-12,12483.6,12557.3,12428.2,12553,218301399
2007-04-13,12551.9,12615.4,12530.2,12612.1,224235268
2007-04-16,12611.6,12731.2,12611.3,12720.5,225023628
2007-04-17,12719.5,12790,12707.5,12773,256883140
2007-04-18,12771.1,12838.5,12729,12803.8,261947237
2007-04-19,12799.8,12830.1,12734.9,12808.6,262594642
2007-04-20,12811.2,12966.3,12810.2,12962,415649122
2007-04-23,12961.5,12983.9,12916.6,12919.4,223280400
