Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-01-03,4564.56,4697.21,4564.56,4650.66,40266120
2007-01-04,4650.23,4681.74,4622.5,4673.06,32594156
2007-01-05,4672.06,4672.06,4601.24,4612.35,27454120
2007-01-08,4612.74,4642.75,4576.04,4624.18,26062272
2007-01-09,4624.95,4663.45,4606.79,4632.66,26941456
2007-01-10,4632.66,4644.48,4589.5,4641.47,31108804
2007-01-11,4641.95,4694.91,4641.89,4693.04,33320670
2007-01-12,4692.6,4760.27,4689.74,4760.27,28654516
2007-01-16,4760.56,4862.79,4760.56,4861.83,44190664
2007-01-17,4860.98,4861.02,4805.18,4813.62,42033924
2007-01-18,4813.37,4877.68,4804.62,4821.75,39718176
2007-01-19,4824,4874.33,4809.45,4859.29,29896980
2007-01-22,4861.7,4867.77,4781.87,4812.85,31582526
2007-01-23,4811.75,4857.29,4756.68,4827.35,54333808
2007-01-24,4825.64,4846.18,4782.25,4821.89,38386408
2007-01-25,4821.75,4822.18,4750.22,4754.85,30766320
2007-01-26,4754.91,4763.91,4687.14,4713,32236090
2007-01-29,4712.77,4791.64,4702.75,4763.81,36170524
2007-01-30,4764.49,4789.49,4744.62,4788.24,42305552
2007-01-31,4787,4921.37,4786.23,4916.81,50837848
2007-02-01,4916.48,5000.47,4908.48,4998.75,37781800
2007-02-02,4996.54,5032.41,4993.2,5006.89,33638416
2007-02-05,4998.5,4999.33,4955.12,4962.93,27114408
2007-02-06,4962.35,4964.93,4934.33,4963.83,27929852
2007-02-07,4963.54,4994.35,4960.54,4979.83,29517966
2007-02-08,4979.21,4979.21,4944.35,4952.16,28587588
2007-02-09,4953.98,4968.73,4899.66,4919.45,26533022
2007-02-12,4919.45,4942.14,4907.85,4937.93,28979194
2007-02-13,4937.93,5034.27,4906.23,5011.87,36983092
2007-02-14,5010.58,5123.5,5010.39,5117.27,38849268
2007-02-15,5113.81,5116.35,5079.49,5099.64,35135696
2007-02-16,5100.22,5124.6,5080.64,5105.97,28596576
2007-02-20,5105.62,5149.39,5090.35,5145.81,38082208
2007-02-21,5143.85,5185.08,5109.31,5178.37,34423032
2007-02-22,5177.85,5211.41,5139.2,5163.29,27792976
2007-02-23,5162.91,5166.83,5109.99,5158.93,25489288
2007-02-26,5156.87,5160.56,5027.04,5036.72,30670224
2007-02-27,5033.68,5033.68,4837.31,4863.75,49294908
2007-02-28,4863.14,4904.37,4829.75,4863.52,39663416
2007-03-01,4862.47,4874.39,4740.87,4855.47,53200008
2007-03-02,4855.04,4865.04,4780.43,4782.25,33509632
2007-03-05,4781.58,4781.58,4708.6,4722.73,33038276
2007-03-06,4723.39,4780.72,4723.39,4768.37,33574932
2007-03-07,4767.75,4810.7,4754.48,4793.22,26681286
2007-03-08,4792.31,4846.71,4792.31,4825.16,26051356
2007-03-09,4825.54,4881.52,4806.58,4830.37,25505142
2007-03-12,4830.29,4874.62,4826.35,4855.23,23439070
2007-03-13,4849.91,4849.91,4725.6,4726.56,35328184
2007-03-14,4725.75,4748.39,4614.35,4716.02,40571968
2007-03-15,4714.77,4773.77,4709.04,4758.5,27370844
2007-03-16,4758.5,4790.58,4717.31,4781.62,43306292
2007-03-19,4782.58,4806.58,4765.1,4794.6,26421756
2007-03-20,4794.37,4851.58,4782.73,4842.54,25422944
2007-03-21,4841.62,4895.22,4812.66,4893.77,29850506
2007-03-22,4893.45,4901.25,4866.62,4891.62,31530428
2007-03-23,4892.1,4978.58,4892.1,4973.27,30801760
2007-03-26,4975.18,4976.1,4882.72,4909.14,30312928
2007-03-27,4909,4909,4845.47,4852.6,27098712
2007-03-28,4851.93,4851.93,4780.48,4793.64,31677952
2007-03-29,4794.56,4843.16,4762.72,4802.5,30047406
2007-03-30,4803.23,4855.04,4785.7,4810.7,30007220
2007-04-02,4811.27,4818.74,4785.79,4816.83,28969486
2007-04-03,4817.54,4906.43,4817.54,4901.77,37827232
2007-04-04,4902.35,4915.66,4881.24,4891.77,25536440
2007-04-05,4891.48,4920.22,4854.85,4917.06,26325080
2007-04-09,4917.52,5069.62,4917.52,5010.1,35501012
2007-04-10,5009.96,5016.75,4984.96,4994.73,24501988
2007-04-11,4995.21,5002.62,4953.31,4970.02,30326078
2007-04-12,4969.06,5061.62,4918.83,5052,37277968
2007-04-13,5047.64,5050.12,4998.22,5035,27848680
2007-04-16,5035.04,5107.64,5034.75,5104.1,30650860
2007-04-17,5103.52,5106.64,5071.29,5082.22,26712128
2007-04-18,5082.12,5175.25,5073.98,5162.56,49179128
2007-04-19,5161.12,5202.93,5113.62,5165.58,48898516
2007-04-20,5166.74,5242.45,5166.74,5205.85,46408916
2007-04-23,5205.91,5229.27,5160.6,5161.75,34288524
2007-04-24,5161.23,5165.54,5091.35,5133.6,46007584
2007-04-25,5159.16,5254.89,5159.02,5243.6,58551352
