"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"NGGWPUS","194913","7546.825","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","195013","8479.65","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","195113","9689.372","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","195213","10272.566","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","195313","10645.798","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","195413","10984.85","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","195513","11719.794","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","195613","12372.905","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","195713","12906.669","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","195813","13146.635","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","195913","14229.272","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","196013","15087.911","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","196113","15460.312","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","196213","16038.973","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","196313","16973.368","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","196413","17535.553","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","196513","17963.1","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","196613","19033.839","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","196713","20251.776","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","196813","21325","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","196913","22679.195","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197013","23786.453","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197113","24088.031","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197213","24016.109","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197301","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197302","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197303","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197304","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197305","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197306","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197307","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197308","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197309","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197310","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197311","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197312","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197313","24067.202","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197401","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
