month,current_account_mln_PLN,capital_account_mln_PLN,financial_account_mln_PLN
01/2004,"-3,336.01",132.96,"-5,813.97"
02/2004,"-3,989.71",47.96,"-4,155.17"
03/2004,"-6,802.30",258.96,"-6,319.88"
04/2004,"-8,675.52",236.89,"-2,602.24"
05/2004,"-4,396.17",75.89,"-5,536.69"
06/2004,"-3,801.05",295.89,"-2,887.66"
07/2004,"-5,772.26","2,311.80","-2,399.62"
08/2004,"-2,850.75",90.80,-982.10
09/2004,"-4,056.93",2.80,"-4,002.94"
10/2004,"-3,677.73",547.86,"2,340.75"
11/2004,"-2,384.83",219.86,"3,291.81"
12/2004,"-4,084.05",35.86,751.07
01/2005,"-2,099.63",8.82,"-2,551.50"
02/2005,"-2,354.75",133.82,"-3,278.93"
03/2005,"-1,846.36","1,522.82",-836.33
04/2005,"-1,106.61",166.47,107.26
05/2005,"-3,936.40",15.47,-206.81
06/2005,-843.76,107.47,"-1,588.14"
07/2005,"-2,706.21",65.06,"-1,921.23"
08/2005,"-2,478.33",113.06,"1,549.67"
09/2005,"-2,728.54",236.06,"-4,080.94"
10/2005,"-2,946.57",130.71,"-3,182.37"
11/2005,"-2,858.90",60.71,"-3,406.18"
12/2005,"-2,762.17",594.71,"-3,304.23"
01/2006,"-1,826.90",623.19,"-1,621.93"
02/2006,"-4,290.90",628.19,"-3,391.18"
03/2006,"-3,590.29",120.19,"-4,010.78"
04/2006,"-3,401.98",400.81,"-1,400.33"
05/2006,"-3,293.73",540.81,-283.32
06/2006,"-3,423.52",-126.19,"-5,053.83"
07/2006,"-3,926.29",822.09,"2,163.57"
08/2006,"-4,303.41",-1.91,"-2,902.41"
09/2006,"-1,179.04","1,151.09","1,911.30"
10/2006,"-5,903.59",57.95,"-4,151.59"
11/2006,"-5,152.98",834.95,"-6,585.10"
12/2006,"-5,630.62","1,430.95","-7,427.59"
01/2007,"-5,674.13",596.10,"-3,519.53"
02/2007,"-5,198.43",618.10,"-6,364.48"
03/2007,"-5,601.28",533.10,"-5,004.22"
04/2007,"-5,122.54",854.20,"-4,590.45"
05/2007,"-8,172.68",379.20,"-9,885.54"
06/2007,"-8,494.96",698.20,"-8,761.50"
07/2007,"-7,612.79",566.95,"-3,175.46"
08/2007,"-4,843.10","1,419.95","-2,788.01"
09/2007,"-5,101.12","1,210.95","-6,671.80"
10/2007,"-7,606.64","1,821.41","-5,252.64"
11/2007,"-5,252.19","1,496.41","-4,395.46"
12/2007,"-10,089.56","2,588.41","-8,476.79"
01/2008,"-5,653.78",912.03,"-4,087.06"
02/2008,"-5,813.25","1,021.03","-6,514.26"
03/2008,"-8,341.25","2,853.03","-7,089.72"
04/2008,"-6,962.79","4,769.87","-3,819.84"
05/2008,"-7,795.45",683.87,"-7,748.40"
06/2008,"-8,274.33",558.87,"-9,524.26"
07/2008,"-5,221.98",272.47,"-2,258.31"
08/2008,"-6,480.33","1,047.47","-7,542.36"
09/2008,"-9,386.21",122.47,"-12,532.61"
10/2008,"-8,592.73","1,059.56","-17,665.53"
11/2008,"-7,305.33",325.56,"-9,438.85"
12/2008,"-9,504.97",615.56,"-12,585.75"
01/2009,"-6,069.84",-66.47,"-9,426.77"
02/2009,426.50,"8,256.53","2,699.83"
03/2009,"-3,554.42",261.53,"-3,803.54"
04/2009,"-4,454.32","2,994.92","-1,608.43"
05/2009,"-4,422.47","1,054.92","-4,237.54"
06/2009,"-4,282.61",474.92,-362.33
07/2009,"-6,234.14","1,269.00","-6,503.12"
08/2009,"-3,221.09",277.00,"-3,207.36"
09/2009,"-4,264.42",351.00,"-10,160.41"
10/2009,"-5,824.27","2,744.98","-5,565.46"
11/2009,"-7,318.86","1,648.98","-9,883.80"
12/2009,"-7,218.22","2,829.98","-8,138.83"
01/2010,"-5,656.00","1,421.00","-11,284.00"
02/2010,"-1,034.00","2,293.00",-592.00
03/2010,"-7,382.00","1,311.00","-8,575.00"
