month,consumer_price_index_MoM,core_inflation_net_of_administered_prices_excluded_MoM,core_inflation_net_of_most_volatile_prices_MoM,core_inflation_net_of_food_and_energy_prices_MoM,core_inflation_15pct_trimmed_mean_MoM
01/2001,100.8,100.5,100.8,101.1,100.4
02/2001,100.1,100.1,100.3,100.3,100.3
03/2001,100.5,100.2,100.7,100.4,100.3
04/2001,100.8,100.7,100.5,100.4,100.3
05/2001,101.1,100.9,100.1,101.0,100.3
06/2001,99.9,99.9,99.9,100.2,100.1
07/2001,99.7,99.2,100.6,100.3,100.2
08/2001,99.7,99.6,100.1,100.1,100.1
09/2001,100.3,100.5,100.1,99.9,100.2
10/2001,100.4,100.4,100.4,100.3,100.2
11/2001,100.1,100.1,100.4,100.1,100.1
12/2001,100.2,100.2,100.5,100.1,100.1
01/2002,100.8,100.7,100.4,100.7,100.2
02/2002,100.1,100.1,100.1,100.2,100.1
03/2002,100.2,100.3,100.1,100.2,100.1
04/2002,100.5,100.5,100.3,100.3,100.1
05/2002,99.8,99.7,99.7,100.1,100.0
06/2002,99.6,99.5,99.8,100.1,100.0
07/2002,99.5,99.0,100.3,100.1,100.0
08/2002,99.6,99.5,100.0,100.0,100.0
09/2002,100.3,100.4,100.1,100.0,100.0
10/2002,100.3,100.3,99.9,99.8,100.1
11/2002,99.9,99.8,100.2,99.9,100.0
12/2002,100.1,100.1,100.5,100.0,100.0
01/2003,100.4,100.3,100.0,100.3,100.1
02/2003,100.1,100.1,99.9,100.1,100.1
03/2003,100.3,100.3,100.1,100.1,100.0
04/2003,100.2,100.2,99.8,100.1,100.0
05/2003,100.0,99.9,99.9,100.1,100.0
06/2003,99.9,99.8,99.8,100.0,100.0
07/2003,99.6,99.3,100.2,99.9,100.1
08/2003,99.6,99.5,100.1,100.0,100.1
09/2003,100.5,100.6,100.2,100.0,100.1
10/2003,100.6,100.6,100.4,100.1,100.1
11/2003,100.3,100.4,100.3,100.1,100.1
12/2003,100.2,100.2,100.6,100.1,100.0
01/2004,100.4,100.4,99.9,100.2,100.2
02/2004,100.1,100.1,100.1,99.9,100.1
03/2004,100.3,100.4,100.1,100.1,100.2
04/2004,100.8,101.0,100.5,100.2,100.2
05/2004,101.0,101.2,100.7,101.0,100.4
06/2004,100.9,101.1,100.2,100.2,100.2
07/2004,99.9,99.8,100.4,100.2,100.2
08/2004,99.6,99.5,100.1,100.0,100.1
09/2004,100.3,100.3,100.2,100.1,100.2
10/2004,100.6,100.7,100.4,100.2,100.2
11/2004,100.3,100.3,100.3,100.0,100.1
12/2004,100.1,100.1,100.5,100.0,100.0
01/2005,100.1,99.8,100.0,100.1,100.1
02/2005,99.9,99.9,100.0,100.0,100.1
03/2005,100.1,100.1,100.0,100.1,100.0
04/2005,100.4,100.4,100.2,100.1,100.0
05/2005,100.3,100.4,99.9,100.1,100.0
06/2005,99.8,99.7,99.9,100.1,100.0
07/2005,99.8,99.6,100.3,100.1,100.1
08/2005,99.9,99.9,100.1,99.9,100.1
09/2005,100.4,100.4,100.2,100.0,100.1
10/2005,100.4,100.3,100.3,100.1,100.1
11/2005,99.8,99.7,100.1,99.9,100.0
12/2005,99.8,99.7,100.2,100.0,100.0
01/2006,100.2,99.8,100.0,99.9,100.1
02/2006,100.0,100.0,99.9,99.9,100.0
03/2006,99.9,99.9,100.1,100.0,100.0
04/2006,100.7,100.5,100.2,100.1,100.0
05/2006,100.5,100.6,100.0,100.0,100.1
06/2006,99.7,99.7,99.7,100.1,100.0
07/2006,100.0,99.9,100.1,100.5,100.1
08/2006,100.3,100.4,100.2,100.0,100.2
09/2006,100.2,100.2,100.1,100.1,100.1
10/2006,100.1,100.1,100.1,100.1,100.1
11/2006,100.0,100.0,100.4,100.0,100.1
12/2006,99.8,99.7,100.5,100.0,100.0
01/2007,100.4,100.2,99.9,100.0,100.2
02/2007,100.3,100.3,100.1,100.0,100.1
03/2007,100.5,100.5,100.1,100.1,100.2
04/2007,100.5,100.5,100.1,100.2,100.2
05/2007,100.5,100.6,99.7,100.2,100.2
06/2007,100.0,100.0,99.8,100.2,100.2
07/2007,99.7,99.7,100.1,100.2,100.2
08/2007,99.6,99.6,100.3,99.7,100.1
09/2007,100.8,100.9,100.6,100.1,100.3
10/2007,100.6,100.7,100.6,100.2,100.3
11/2007,100.7,100.7,100.9,100.1,100.3
12/2007,100.3,100.3,100.9,100.2,100.2
01/2008,100.7,100.6,100.4,100.5,100.5
02/2008,100.4,100.1,100.6,100.1,100.3
03/2008,100.4,100.4,100.4,100.3,100.3
04/2008,100.4,100.4,100.1,100.3,100.3
