month,total_consumption_loans_mln_PLN,total_loans_for_purchase_of_property_mln_PLN,total_loans_to_households_mln_PLN
12/1996,"10,393.8","1,072.6","20,846.4"
01/1997,"10,597.1","1,101.4","21,376.4"
02/1997,"10,948.9","1,101.6","22,409.6"
03/1997,"11,425.1","1,118.9","23,483.5"
04/1997,"11,986.5","1,168.2","24,796.8"
05/1997,"12,468.5","1,205.9","25,549.6"
06/1997,"13,213.9","1,280.8","26,842.9"
07/1997,"13,675.9","1,360.9","27,666.6"
08/1997,"14,089.2","1,427.9","28,397.2"
09/1997,"14,524.7","1,504.0","29,106.6"
10/1997,"15,093.2","1,588.3","29,990.9"
11/1997,"15,372.8","1,716.7","30,549.4"
12/1997,"16,122.5","1,826.4","31,244.0"
01/1998,"16,025.9","1,893.4","31,435.9"
02/1998,"15,937.7","1,947.1","31,642.2"
03/1998,"16,168.4","2,019.4","32,473.8"
04/1998,"16,460.0","2,100.6","33,197.9"
05/1998,"16,837.2","2,178.6","33,896.6"
06/1998,"17,335.7","2,279.2","34,666.2"
07/1998,"17,909.3","2,388.8","35,490.4"
08/1998,"18,329.4","2,516.6","36,318.5"
09/1998,"18,843.6","2,628.5","37,101.0"
10/1998,"19,791.5","2,733.0","38,271.0"
11/1998,"19,628.3","2,830.7","38,378.5"
12/1998,"20,127.6","3,004.8","38,988.0"
01/1999,"20,210.1","3,034.3","39,395.5"
02/1999,"20,458.4","3,144.3","40,285.1"
03/1999,"21,036.2","3,282.3","41,479.5"
04/1999,"21,723.1","3,399.6","42,653.7"
05/1999,"22,464.7","3,598.6","44,005.6"
06/1999,"23,462.3","3,892.6","45,365.0"
07/1999,"24,509.8","4,122.4","46,842.7"
08/1999,"25,531.1","4,440.0","48,470.9"
09/1999,"26,469.2","4,883.2","49,871.3"
10/1999,"27,333.7","5,242.3","51,406.7"
11/1999,"28,525.3","5,535.3","53,188.9"
12/1999,"29,814.6","5,881.7","54,654.1"
01/2000,"29,889.5","6,051.6","55,171.6"
02/2000,"30,187.6","6,226.9","55,980.2"
03/2000,"31,236.5","6,469.5","57,652.5"
04/2000,"31,570.4","6,771.9","58,648.1"
05/2000,"32,778.2","7,056.4","60,443.8"
06/2000,"42,612.3","7,449.2","70,880.1"
07/2000,"34,693.6","7,762.7","63,375.8"
08/2000,"35,411.9","8,125.3","64,643.6"
09/2000,"36,340.5","8,522.9","66,278.6"
10/2000,"37,012.7","8,900.2","67,872.6"
11/2000,"37,241.7","9,240.8","68,734.3"
12/2000,"37,852.4","9,631.2","69,625.5"
01/2001,"37,793.3","9,789.7","69,818.7"
02/2001,"37,471.3","9,956.0","69,981.9"
03/2001,"37,461.2","10,166.1","70,429.4"
04/2001,"37,699.4","10,444.3","71,158.0"
05/2001,"38,109.7","10,659.5","71,928.3"
06/2001,"38,357.1","11,011.6","72,558.0"
07/2001,"39,225.6","11,955.8","77,067.1"
08/2001,"39,847.5","12,615.4","78,752.8"
09/2001,"40,170.7","13,072.6","79,737.7"
10/2001,"39,953.6","13,207.1","79,516.1"
11/2001,"40,089.0","13,520.3","79,936.7"
12/2001,"40,018.6","14,115.4","79,851.1"
01/2002,"39,615.3","14,545.6","79,833.6"
02/2002,"39,446.9","14,641.9","79,660.0"
03/2002,"38,931.0","15,198.4","82,549.2"
04/2002,"39,095.4","15,602.3","82,555.8"
05/2002,"39,545.3","16,559.5","83,234.5"
06/2002,"39,863.3","17,775.5","83,433.4"
07/2002,"40,256.4","18,738.3","84,607.6"
08/2002,"40,738.2","18,898.2","85,108.0"
09/2002,"41,386.2","19,323.4","85,981.2"
10/2002,"41,074.6","19,726.2","85,830.6"
11/2002,"40,697.3","20,069.6","85,790.6"
12/2002,"40,966.6","20,634.3","86,122.7"
01/2003,"40,623.1","21,137.8","86,459.6"
02/2003,"40,000.1","21,727.9","86,638.6"
03/2003,"40,277.8","22,803.2","88,367.5"
04/2003,"40,128.0","22,673.7","87,971.6"
05/2003,"40,697.1","23,501.3","89,339.8"
06/2003,"40,847.3","24,581.1","90,495.7"
07/2003,"40,989.3","25,228.6","91,317.8"
08/2003,"41,146.8","26,028.3","92,283.0"
09/2003,"41,762.0","27,888.8","94,890.3"
10/2003,"42,168.8","28,976.0","96,364.0"
11/2003,"42,095.8","29,835.6","97,399.2"
12/2003,"42,276.0","30,762.4","98,133.5"
01/2004,"42,045.3","31,391.7","98,672.4"
02/2004,"41,657.9","32,230.0","99,322.9"
03/2004,"41,955.0","32,573.0","100,233.1"
04/2004,"42,981.3","34,286.6","103,686.7"
05/2004,"41,489.5","34,437.2","102,636.3"
06/2004,"41,875.2","34,827.9","103,413.6"
07/2004,"42,580.7","34,651.2","103,916.6"
08/2004,"43,478.4","35,854.0","106,017.9"
09/2004,"44,222.4","36,281.3","107,114.5"
10/2004,"45,294.9","37,062.6","122,858.0"
11/2004,"45,727.2","37,343.2","111,056.7"
12/2004,"46,511.2","37,250.6","109,660.0"
01/2005,"46,603.7","37,707.3","110,447.3"
02/2005,"46,276.4","37,683.8","109,976.5"
03/2005,"47,350.5","39,240.3","112,752.9"
04/2005,"48,651.3","41,645.8","118,509.2"
05/2005,"49,516.9","42,044.0","124,643.7"
06/2005,"50,308.0","43,379.1","120,424.6"
07/2005,"51,287.1","45,097.0","123,479.0"
08/2005,"52,459.9","46,519.0","126,491.3"
09/2005,"53,429.6","47,145.5","128,348.2"
10/2005,"54,742.1","49,581.1","132,169.4"
11/2005,"55,493.9","50,529.1","134,103.3"
12/2005,"56,023.7","52,331.4","136,025.7"
01/2006,"56,138.6","53,462.3","137,422.9"
02/2006,"55,953.9","53,663.7","137,559.7"
03/2006,"57,029.0","57,213.6","142,731.9"
04/2006,"57,915.1","58,754.8","145,590.7"
05/2006,"59,782.5","62,267.1","151,465.9"
06/2006,"60,889.6","65,780.3","156,551.2"
07/2006,"61,905.2","67,274.2","159,886.3"
08/2006,"63,358.7","70,056.6","164,726.1"
09/2006,"64,912.1","73,135.2","169,833.6"
10/2006,"66,174.8","75,380.7","173,424.8"
11/2006,"67,109.8","77,447.0","177,845.9"
12/2006,"68,334.7","80,889.9","182,893.0"
01/2007,"69,157.1","84,663.3","188,424.4"
02/2007,"69,586.9","87,452.5","191,279.8"
03/2007,"71,460.7","89,959.8","197,829.4"
04/2007,"72,967.2","91,871.2","203,284.1"
05/2007,"75,622.0","96,486.9","210,476.5"
06/2007,"77,590.7","100,019.5","216,337.5"
07/2007,"79,949.0","105,414.3","224,994.2"
08/2007,"82,176.0","110,716.8","232,674.6"
09/2007,"84,339.8","113,295.2","237,780.7"
10/2007,"87,177.7","113,866.0","241,950.7"
11/2007,"88,283.5","119,130.2","248,258.9"
12/2007,"90,501.9","121,799.2","253,189.4"
01/2008,"91,988.2","127,736.1","260,928.2"
02/2008,"93,163.9","129,298.6","264,869.5"
03/2008,"95,545.8","133,986.9","272,708.9"
04/2008,"98,143.6","134,895.4","278,100.3"
05/2008,"100,642.6","136,493.4","283,029.9"
06/2008,"103,379.7","141,539.4","291,748.2"
07/2008,"105,883.3","141,279.5","294,393.5"
08/2008,"108,984.1","150,028.5","306,870.7"
09/2008,"112,115.2","158,033.9","318,414.7"
10/2008,"115,485.0","176,726.0","341,104.6"
11/2008,"116,714.4","177,342.3","343,499.4"
12/2008,"119,929.1","197,780.9","366,966.9"
01/2009,"121,621.6","208,814.1","380,234.0"
02/2009,"122,564.3","217,396.1","390,537.0"
03/2009,"124,155.0","217,551.6","392,877.6"
04/2009,"125,601.4","209,644.4","386,930.3"
05/2009,"127,701.2","213,579.3","393,714.9"
06/2009,"129,156.5","215,225.5","396,990.0"
07/2009,"130,277.3","206,809.8","389,786.4"
08/2009,"131,684.9","208,472.5","393,210.9"
09/2009,"133,440.8","215,758.5","402,700.3"
10/2009,"134,458.9","219,136.4","411,235.9"
11/2009,"134,763.5","218,250.9","407,501.5"
12/2009,"135,273.7","221,558.9","410,717.7"
01/2010,"135,121.7","223,304.8","412,401.8"
02/2010,"134,599.1","222,398.2","411,399.9"
03/2010,"135,579.0","223,577.1","414,782.8"
04/2010,"135,842.1","226,992.7","418,905.0"
05/2010,"136,935.4","237,085.4","431,077.4"
06/2010,"137,576.1","253,190.0","448,503.8"
07/2010,"137,371.4","247,316.4","442,786.7"
08/2010,"138,324.4","257,098.9","453,962.1"
09/2010,"138,066.2","255,041.1","451,853.0"
10/2010,"137,759.6","254,658.8","451,332.5"
11/2010,"138,293.8","267,579.0","465,845.4"
12/2010,"137,710.4","271,459.9","467,749.9"
01/2011,"136,418.3","268,195.5","463,879.6"
02/2011,"135,512.3","272,022.4","467,528.8"
03/2011,"135,011.0","273,810.4","469,745.9"
04/2011,"134,105.0","274,563.2","470,655.3"
05/2011,"135,122.2","285,413.3","483,347.0"
06/2011,"134,448.5","291,901.3","489,983.2"
07/2011,"134,802.2","304,253.4","503,290.1"
08/2011,"136,357.4","307,481.0","508,885.6"
09/2011,"136,297.0","315,798.3","517,785.1"
10/2011,"135,906.6","315,060.5","516,934.6"
11/2011,"136,026.2","325,268.2","528,104.8"
12/2011,"134,520.9","322,807.7","523,856.7"
01/2012,"132,625.6","316,763.3","515,425.2"
02/2012,"131,651.7","313,811.9","512,124.7"
03/2012,"131,653.5","316,486.3","515,495.0"
04/2012,"131,550.1","318,665.1","518,396.1"
05/2012,"131,933.6","329,989.0","531,092.1"
06/2012,"130,999.0","326,046.7","526,978.6"
07/2012,"130,623.8","320,794.3","521,550.1"
08/2012,"130,789.0","325,492.3","526,631.1"
09/2012,"130,321.6","322,689.6","523,806.3"
10/2012,"130,108.6","325,377.7","526,315.2"
11/2012,"129,500.0","325,752.9","526,517.5"
12/2012,"128,282.5","325,657.9","524,519.3"
01/2013,"127,343.1","327,268.8","525,071.5"
02/2013,"126,610.3","328,427.4","526,004.7"
03/2013,"126,645.6","330,484.5","528,570.4"
04/2013,"126,850.2","329,165.4","528,104.3"
05/2013,"127,845.5","334,437.4","534,893.9"
06/2013,"127,129.8","338,127.2","538,587.9"
07/2013,"127,721.9","336,519.5","537,964.6"
08/2013,"128,411.1","338,736.7","541,342.6"
09/2013,"130,990.0","339,698.6","545,749.0"
10/2013,"131,198.1","338,462.2","544,961.3"
11/2013,"131,320.7","340,660.4","547,982.6"
12/2013,"131,439.9","340,543.4","547,093.8"
01/2014,"131,478.1","345,521.9","552,652.4"
02/2014,"131,162.3","344,019.3","551,758.2"
03/2014,"131,450.9","344,765.4","553,656.0"
04/2014,"132,187.4","347,252.0","557,450.9"
05/2014,"133,183.2","346,469.1","558,793.2"
06/2014,"133,844.2","349,192.8","562,486.8"
07/2014,"134,870.4","350,539.3","565,103.6"
08/2014,"135,954.5","354,801.7","570,637.3"
09/2014,"136,875.5","354,623.1","571,828.9"
10/2014,"136,470.8","357,176.2","573,527.4"
11/2014,"136,743.3","357,445.7","574,812.3"
12/2014,"137,394.8","361,125.7","578,092.6"
01/2015,"138,265.1","379,039.7","597,195.3"
02/2015,"137,879.5","374,419.1","592,613.2"
03/2015,"138,741.2","375,700.8","595,651.5"
04/2015,"139,150.4","373,647.7","594,608.7"
05/2015,"140,888.1","380,543.9","604,231.1"
06/2015,"141,364.9","384,128.2","609,240.2"
07/2015,"142,314.0","381,332.9","608,183.7"
08/2015,"143,712.1","382,378.6","610,053.1"
09/2015,"144,756.0","381,899.0","610,814.9"
10/2015,"145,408.5","384,798.3","614,340.5"
11/2015,"146,061.2","385,284.7","615,692.9"
