month,M1_mio_PLN,M2_mio_PLN,M3_mio_PLN
12/1996,"67,866.0","140,038.7","140,428.8"
01/1997,"63,663.0","138,755.5","139,333.9"
02/1997,"63,625.7","141,142.5","141,692.2"
03/1997,"65,497.8","144,080.8","144,931.6"
04/1997,"66,635.3","147,471.8","148,012.8"
05/1997,"69,033.2","151,110.6","151,700.6"
06/1997,"71,672.3","154,073.6","154,747.6"
07/1997,"74,386.6","160,056.3","160,454.2"
08/1997,"74,328.6","162,082.2","162,408.5"
09/1997,"74,658.3","164,710.2","165,037.0"
10/1997,"74,854.5","169,848.8","170,176.5"
11/1997,"75,283.9","173,093.8","173,413.4"
12/1997,"79,239.8","179,378.1","179,602.4"
01/1998,"73,597.5","177,942.6","178,239.6"
02/1998,"74,417.0","180,545.2","180,850.5"
03/1998,"75,621.7","182,904.3","183,236.3"
04/1998,"75,681.0","185,780.9","185,907.5"
05/1998,"78,728.6","190,926.8","191,080.2"
06/1998,"81,843.5","195,272.5","195,388.1"
07/1998,"82,275.5","199,468.2","199,705.2"
08/1998,"84,113.5","204,921.5","205,133.6"
09/1998,"84,554.1","206,446.6","206,639.4"
10/1998,"83,240.4","207,413.3","207,605.4"
11/1998,"84,619.6","210,561.5","210,742.0"
12/1998,"89,919.5","223,678.1","223,913.4"
01/1999,"88,635.8","226,255.6","226,342.7"
02/1999,"91,943.2","233,296.8","233,423.8"
03/1999,"95,283.3","236,660.5","236,748.5"
04/1999,"93,989.0","236,676.3","236,784.4"
05/1999,"97,092.2","239,913.2","240,024.5"
06/1999,"99,567.9","242,377.0","242,631.2"
07/1999,"100,034.6","244,091.2","244,209.9"
08/1999,"101,550.2","247,353.3","247,529.7"
09/1999,"103,055.2","252,022.4","252,147.9"
10/1999,"106,451.2","256,819.7","256,956.1"
11/1999,"105,637.0","261,352.7","261,500.8"
12/1999,"111,383.9","268,700.5","268,867.8"
01/2000,"101,145.4","260,852.6","261,040.5"
02/2000,"100,853.2","264,431.9","264,628.1"
03/2000,"100,392.9","269,598.1","269,788.1"
04/2000,"101,326.8","272,969.7","273,158.8"
05/2000,"103,253.9","276,690.8","276,886.4"
06/2000,"109,322.2","291,693.4","291,886.9"
07/2000,"104,920.1","284,257.7","284,515.7"
08/2000,"105,440.5","284,914.9","285,171.0"
09/2000,"103,849.1","288,852.1","289,140.1"
10/2000,"103,732.6","295,448.1","295,734.8"
11/2000,"104,210.8","298,750.0","299,052.9"
12/2000,"106,455.9","300,424.1","300,757.3"
01/2001,"101,370.3","298,976.5","299,239.7"
02/2001,"102,466.5","303,598.9","303,883.5"
03/2001,"103,172.1","309,065.8","309,465.7"
04/2001,"102,704.0","310,319.0","310,608.7"
05/2001,"104,276.5","312,736.6","313,034.6"
06/2001,"105,052.6","314,724.9","315,025.5"
07/2001,"108,318.9","320,801.3","321,103.7"
08/2001,"108,459.7","324,636.1","324,942.0"
09/2001,"111,975.3","326,867.5","327,153.5"
10/2001,"111,830.1","330,919.5","331,194.7"
11/2001,"109,387.8","322,359.7","322,658.1"
12/2001,"119,567.9","329,469.1","329,704.7"
01/2002,"112,974.3","323,454.2","323,709.2"
02/2002,"116,992.0","326,183.5","326,410.1"
