month,registered_unemployed_in_thousands,rate_of_unemployment,average_monthly_salary_in_private_sector_PLN,rail_transport_mln_ton-km,new_flats_added
01/2000,2476.1,13.7,.,.,"5,796.00"
02/2000,2525.8,14,.,.,"6,199.00"
03/2000,2531.7,14,.,.,"5,977.00"
04/2000,2487.9,13.8,.,.,"5,360.00"
05/2000,2445.4,13.6,.,.,"5,955.00"
06/2000,2437.4,13.6,.,.,"4,991.00"
07/2000,2477.6,13.8,.,.,"6,463.00"
08/2000,2496.2,13.9,.,.,"7,147.00"
09/2000,2528.8,14,.,.,"6,882.00"
10/2000,2547.7,14.1,.,.,"8,442.00"
11/2000,2613.1,14.5,.,.,"9,086.00"
12/2000,2702.6,15.1,.,.,"15,491.00"
01/2001,2835.6,15.7,.,.,"9,496.00"
02/2001,2876.9,15.9,.,.,"7,815.00"
03/2001,2898.7,16.1,.,.,"8,444.00"
04/2001,2878,16,.,.,"8,095.00"
05/2001,2841.1,15.9,.,.,"7,064.00"
06/2001,2849.2,15.9,.,.,"6,702.00"
07/2001,2871.5,16,.,.,"8,848.00"
08/2001,2892.6,16.2,.,.,"7,962.00"
09/2001,2920.4,16.3,.,.,"7,437.00"
10/2001,2944.3,16.4,.,.,"9,068.00"
11/2001,3022.4,16.8,.,.,"10,309.00"
12/2001,3115.1,17.5,.,.,"14,727.00"
01/2002,3253.3,18.1,.,.,"8,355.00"
02/2002,3277.9,18.2,.,.,"7,501.00"
03/2002,3259.9,18.2,.,.,"6,007.00"
04/2002,3203.6,17.9,.,.,"7,709.00"
05/2002,3064.6,17.3,.,.,"6,013.00"
06/2002,3090.9,17.4,.,.,"7,209.00"
07/2002,3105.3,17.5,.,.,"5,975.00"
08/2002,3105.6,17.5,.,.,"6,904.00"
09/2002,3108.1,17.6,.,.,"6,878.00"
10/2002,3108.1,17.5,.,.,"11,023.00"
11/2002,3150.8,17.8,.,.,"9,273.00"
12/2002,3217,18,.,.,"14,748.00"
01/2003,3320.6,20.6,.,.,"9,607.00"
02/2003,3344.2,20.7,.,.,"9,554.00"
03/2003,3321,20.6,.,.,"8,492.00"
04/2003,3246.1,20.3,.,.,"9,573.00"
05/2003,3159.6,19.8,.,.,"10,524.00"
06/2003,3134.6,19.7,.,.,"18,585.00"
07/2003,3123,19.6,.,.,"43,492.00"
08/2003,3099.1,19.5,.,.,"6,458.00"
09/2003,3073.3,19.4,.,.,"8,174.00"
10/2003,3058.2,19.3,.,.,"9,548.00"
11/2003,3096.9,19.5,.,.,"9,214.00"
12/2003,3175.7,20,.,.,"19,465.00"
01/2004,3293.2,20.6,.,.,"11,187.00"
02/2004,3294.5,20.6,.,.,"7,557.00"
03/2004,3265.8,20.4,.,.,"9,492.00"
04/2004,3173.8,19.9,.,.,"8,337.00"
05/2004,3092.5,19.5,.,.,"7,054.00"
06/2004,3071.2,19.4,.,.,"6,602.00"
07/2004,3042.4,19.3,.,.,"7,474.00"
08/2004,3005.7,19.1,.,.,"7,191.00"
09/2004,2970.9,18.9,.,.,"7,138.00"
10/2004,2938.2,18.7,.,.,"9,534.00"
11/2004,2942.6,18.7,.,.,"9,612.00"
12/2004,2999.6,19,.,.,"16,939.00"
01/2005,3094.9,19.4,2385.26963135897,.,"11,971.00"
02/2005,3094.5,19.4,2411.31384914179,.,"7,561.00"
03/2005,3052.6,19.2,2480.43826337788,.,"6,968.00"
