quarter,new_construction_permits_issued,new_constructions_started,dwellings_in_construction,new_dwellings_completed_total,GDP_nominal_current_prices_mln_PLN,export_goods_and_services_current_prices_mln_PLN,imports_goods_and_services_current_prices,GDP_consumption_mln_PLN,GDP_investments_mln_PLN
Q1Y2000,"24,500.00","20,800.00","675,200.00","18,000.00",.,.,.,.,.
Q2Y2000,"33,900.00","36,700.00","695,600.00","16,300.00",.,.,.,.,.
Q3Y2000,"39,400.00","33,200.00","708,300.00","20,500.00",.,.,.,.,.
Q4Y2000,"54,200.00","35,000.00","710,400.00","33,000.00",.,.,.,.,.
Q1Y2001,"23,300.00","17,600.00","702,200.00","25,800.00",.,.,.,.,.
Q2Y2001,"28,700.00","28,800.00","709,100.00","21,900.00",.,.,.,.,.
Q3Y2001,"30,800.00","24,300.00","709,200.00","24,200.00",.,.,.,.,.
Q4Y2001,"66,200.00","43,800.00","718,800.00","34,100.00",.,.,.,.,.
Q1Y2002,"12,500.00","16,200.00","713,100.00","21,900.00","189,879.40","48,550.80","56,570.30","173,843.00","24,055.90"
Q2Y2002,"21,200.00","22,100.00","714,300.00","20,900.00","198,461.70","56,235.80","64,150.10","172,884.90","33,491.10"
Q3Y2002,"24,400.00","21,700.00","716,300.00","19,800.00","200,992.10","63,232.00","69,067.50","170,543.30","36,284.30"
Q4Y2002,"27,900.00","16,900.00","698,200.00","35,000.00","222,880.70","65,193.00","72,347.90","174,344.60","55,691.00"
Q1Y2003,"13,200.00","10,700.00","681,200.00","27,700.00","194,803.20","59,340.50","67,463.50","175,277.80","27,648.40"
Q2Y2003,"22,900.00","26,000.00","668,500.00","38,700.00","207,707.90","67,895.90","72,650.10","178,073.00","34,389.10"
Q3Y2003,"26,900.00","26,500.00","636,900.00","58,100.00","208,842.80","74,673.50","79,808.70","176,375.30","37,602.70"
Q4Y2003,"35,900.00","20,500.00","619,200.00","38,200.00","235,798.20","80,619.60","85,863.70","181,378.60","59,663.70"
Q1Y2004,"22,000.00","17,700.00","608,700.00","28,200.00","214,304.70","71,035.60","77,774.90","187,835.50","33,208.50"
Q2Y2004,"31,000.00","32,900.00","619,600.00","22,000.00","226,018.20","83,446.10","93,206.20","193,510.60","42,267.70"
Q3Y2004,"31,600.00","32,100.00","629,800.00","21,800.00","228,868.40","81,724.30","88,772.90","192,911.40","43,005.60"
Q4Y2004,"30,300.00","18,400.00","612,100.00","36,100.00","263,900.20","83,242.00","87,450.90","197,826.60","70,282.50"
Q1Y2005,"25,400.00","15,200.00","600,900.00","26,500.00","230,098.90","75,462.74","77,669.27","197,687.50","34,617.90"
Q2Y2005,"31,700.00","34,600.00","612,500.00","22,900.00","242,441.25","85,662.28","89,283.43","200,256.70","45,805.70"
Q3Y2005,"34,000.00","33,400.00","618,000.00","28,000.00","244,647.80","87,526.07","91,508.34","200,708.10","47,922.00"
Q4Y2005,"32,800.00","22,600.00","603,900.00","36,700.00","273,342.50","94,187.49","97,327.74","207,831.00","68,651.70"
Q1Y2006,"31,800.00","16,800.00","592,400.00","28,300.00","244,896.20","91,719.90","95,489.00","211,849.80","36,815.50"
Q2Y2006,"43,400.00","43,500.00","613,900.00","22,100.00","256,604.70","99,423.10","105,370.60","216,565.30","45,986.90"
Q3Y2006,"46,700.00","41,300.00","628,900.00","26,200.00","264,324.10","103,192.60","110,471.00","216,391.00","55,211.50"
Q4Y2006,"48,000.00","36,300.00","626,500.00","38,800.00","303,606.40","110,134.00","118,043.60","217,694.20","93,821.80"
Q1Y2007,"45,200.00","31,300.00","630,800.00","27,000.00","272,905.40","108,871.20","117,592.43","231,802.60","49,824.10"
Q2Y2007,"69,800.00","54,900.00","659,900.00","25,800.00","285,685.60","110,415.30","122,799.44","233,935.90","64,133.80"
Q3Y2007,"68,700.00","54,900.00","680,600.00","34,100.00","290,508.50","117,012.50","127,867.43","233,281.10","68,082.30"
Q4Y2007,"65,600.00","44,000.00","677,900.00","46,700.00","338,408.60","121,084.40","134,236.48","234,401.30","117,159.40"
Q1Y2008,"50,900.00","38,100.00","680,600.00","35,400.00","302,030.85","122,026.04","135,115.70","257,943.10","57,177.40"
Q2Y2008,"64,900.00","56,600.00","703,300.00","33,900.00","311,056.71","123,149.95","140,061.60","257,631.70","70,336.70"
