month,total_official_reserve_assets_mln_PLN,monetary_gold_mln_PLN,other_reserve_assets_mln_PLN
01/1998,"78,247.10",979.80,"76,878.70"
02/1998,"84,467.80",938.90,"83,148.10"
03/1998,"84,145.00",941.70,"82,827.20"
04/1998,"88,086.00",957.80,"86,756.00"
05/1998,"91,686.20",929.30,"90,377.80"
06/1998,"94,448.20","3,409.00","90,661.40"
07/1998,"101,460.20","3,277.50","97,808.20"
08/1998,"110,403.30","3,376.80","106,620.50"
09/1998,"100,586.60","3,473.60","96,709.70"
10/1998,"98,269.40","3,326.70","94,544.90"
11/1998,"99,954.40","3,396.50","96,160.70"
12/1998,"99,075.70","3,328.60","95,342.10"
01/1999,"107,713.40","3,451.40","103,844.50"
02/1999,"118,137.10","3,738.60","113,444.60"
03/1999,"114,724.80","3,704.40","110,054.70"
04/1999,"112,434.20","3,745.50","107,740.00"
05/1999,"111,316.80","3,525.50","106,841.30"
06/1999,"107,611.40","3,390.80","103,286.20"
07/1999,"110,954.60","3,261.20","106,752.90"
08/1999,"114,498.30","3,352.80","110,166.10"
09/1999,"114,752.40","4,066.30","109,655.60"
10/1999,"115,645.60","4,155.70","110,448.30"
11/1999,"116,174.10","4,132.10","110,977.70"
12/1999,"113,305.40","3,979.90","108,300.10"
01/2000,"113,418.60","3,939.80","108,451.70"
02/2000,"109,078.90","4,031.50","104,024.40"
03/2000,"108,709.00","3,790.00","103,905.70"
04/2000,"112,801.80","4,022.50","107,720.80"
05/2000,"113,163.90","3,952.60","108,152.70"
06/2000,"114,097.10","4,182.90","108,832.10"
07/2000,"111,161.00","3,970.10","106,150.00"
08/2000,"111,856.50","4,012.20","106,788.90"
09/2000,"115,397.70","4,108.10","110,205.00"
10/2000,"122,168.50","4,096.80","116,972.90"
11/2000,"118,742.30","3,979.70","113,692.90"
12/2000,"113,796.00","3,734.90","109,051.00"
01/2001,"114,901.90","3,574.50","110,335.40"
02/2001,"117,013.80","3,593.10","112,430.40"
03/2001,"114,792.80","3,493.50","110,067.60"
04/2001,"110,294.40","3,459.40","105,648.30"
05/2001,"108,406.20","3,544.70","103,534.40"
06/2001,"108,102.10","3,567.30","103,216.50"
07/2001,"118,015.20","3,725.70","112,669.80"
08/2001,"118,678.10","3,821.30","113,183.00"
09/2001,"119,899.10","4,105.70","114,130.90"
10/2001,"118,451.10","3,778.20","113,074.80"
11/2001,"106,790.30","3,724.20","101,478.60"
