month,Wheat_prices_index_MoM,cattle_prices_index_MoM,milk_prices_index_MoM,pigs_price_index_MoM,food_and_beverages_price_index_MoM,alcohol_and_tobacco_products_price_index_MoM,clothes_and_shoes_price_index_MoM,education_goods_and_services_price_index_MoM,communications_goods_and_services_price_index_MoM
01/2000,109.12,101.60,120.35,98.80,101.4,101.6,100.6,100.3,107.6
02/2000,102.24,102.50,124.60,98.00,101.1,101,99.9,100.3,99.8
03/2000,100.63,102.21,126.89,104.00,100.9,100.7,100.4,100.2,102.1
04/2000,100.80,100.72,128.11,105.20,100.8,100.5,100.5,100.1,94.4
05/2000,108.19,100.00,130.87,104.10,100.4,100.4,100.3,100.1,100
06/2000,113.47,101.20,131.60,102.00,100.6,100.3,100.3,100.1,99.9
07/2000,94.48,101.30,133.32,116.20,100.7,100.3,100.2,100.2,104.7
08/2000,80.52,104.60,132.57,102.15,98.9,100,99.8,100,100
09/2000,100.24,103.90,130.82,100.93,101.4,100.1,100.7,102.5,99.9
10/2000,99.62,103.10,125.86,98.20,100.8,100.4,100.5,103.3,100
11/2000,107.39,97.70,121.70,90.57,100.3,100.2,100.4,100.5,99.9
12/2000,105.59,95.80,118.30,105.40,101,100.2,100.2,100,99.9
01/2001,103.99,96.01,112.69,99.90,100.6,100.1,99.9,100.2,100.1
02/2001,100.72,92.10,110.23,99.10,99.8,100.6,99.5,100.3,97.1
03/2001,98.41,94.80,105.95,108.30,100.5,100.7,99.8,100.1,100
04/2001,99.43,114.50,103.07,103.92,101.5,100.6,100.1,100,100
05/2001,98.38,101.04,101.06,93.20,101.6,100.4,100.3,100.1,108
06/2001,99.08,98.00,99.79,102.14,99.5,100.2,100.1,100,100
07/2001,94.39,100.10,98.48,103.40,97.6,100.2,99.9,99.9,100
08/2001,92.58,103.00,97.08,104.40,98.7,100.5,99.5,100,100
09/2001,100.68,100.60,96.03,102.30,100.7,100.7,100.1,101.4,96.4
10/2001,100.49,99.40,95.67,100.00,100.6,100.4,100.4,102.5,100
11/2001,94.29,96.95,96.10,96.40,100.2,100.2,100.3,100.2,100
12/2001,102.06,101.80,96.78,98.70,100.6,100.2,100.1,100,100
01/2002,100.44,99.90,98.60,90.60,101.2,100.2,99.6,100.2,100.1
02/2002,101.32,99.90,96.94,96.50,100.1,100.2,99.2,100.1,100
03/2002,99.86,99.50,96.80,101.60,100.4,100.4,99.7,100.1,100
04/2002,99.13,99.20,95.39,94.75,100.5,100.4,100.1,100,100
05/2002,97.95,96.00,90.79,93.20,99.1,100.2,100,100,100
06/2002,99.45,97.60,90.60,96.40,98.6,100.2,99.9,100,100
07/2002,93.22,100.00,89.19,107.70,97.1,100.1,99.8,100,100
08/2002,99.01,100.00,90.01,98.91,98.6,100,99.5,100,100
09/2002,99.84,99.80,89.24,95.50,100.8,99.8,100,100.3,100
10/2002,100.75,97.50,90.65,95.38,101,96.8,100.5,101.5,100
11/2002,97.64,100.00,89.61,97.80,99.7,99,100.2,100.2,100
12/2002,102.04,104.20,90.17,100.62,100.3,99.6,100,100,100
01/2003,101.10,96.40,91.10,89.70,100.4,99.8,99.4,100.1,100
02/2003,102.50,101.10,91.90,103.40,99.8,100,98.8,100.1,100
03/2003,101.60,99.10,93.10,100.60,100.3,100.1,99.5,100,100
04/2003,104.50,101.70,94.80,103.10,100.6,100.3,100,100,100
05/2003,108.40,95.70,98.70,98.20,100.4,100.2,100,100,100
06/2003,103.70,99.50,98.80,103.40,100,100.2,100,100,100
07/2003,89.70,97.10,100.50,110.90,98.1,100.2,99.6,100,100
08/2003,90.90,101.30,100.90,101.00,98.2,100.6,99.3,100,100
09/2003,101.60,99.50,103.40,105.10,101.5,100.4,99.8,100.2,100
10/2003,100.70,101.60,104.00,87.20,101.5,100.1,100.2,101.5,100
11/2003,122.80,98.70,108.50,95.50,100.8,100.1,100.2,100.1,100
12/2003,114.70,104.20,107.80,99.10,100.5,100,100,100,100
01/2004,109.50,100.20,107.50,98.70,100.5,100.1,99.2,100.1,100
02/2004,102.40,104.30,108.90,106.90,100.3,100.1,98.6,100.1,100
03/2004,98.60,103.90,109.40,117.00,100.8,100.1,99.5,100.1,99.8
04/2004,99.70,103.30,112.40,104.50,102.1,100.6,100,100.1,100
05/2004,101.40,114.10,118.70,102.20,100.6,100.5,100.4,100.1,99.9
06/2004,98.90,119.90,124.30,113.40,102.7,100.2,100,100,100
07/2004,88.90,97.30,129.00,99.70,99.2,100.4,99.4,100,100
08/2004,68.60,97.50,130.50,101.30,98.4,100.3,99.1,100,100
09/2004,100.10,101.50,129.00,106.40,100.4,100.2,99.9,100.4,100
10/2004,100.50,98.60,128.00,94.00,101.1,100.1,100.3,103.2,100
